keys,ru,kk
OBJ_12_DESC,"Учебно-лабораторный комплекс, предназначенный для исследования систем релейной защиты и автоматики в распределительных сетях без интеграции локальной генерации. Включает функциональные модули трехфазных выключателей, ввода-вывода сигналов, моделей линий электропередач, активной нагрузки и силовых трансформаторов. Предназначен для проведения лабораторно-практических занятий.","Жергілікті генерацияны біріктірусіз таратушы желілердегі релелік қорғаныс және автоматика жүйелерін зерттеуге арналған оқу-зертханалық кешен. Үш фазалы ажыратқыштар, сигналдарды енгізу-шығару, электр беру желілерінің модельдері, активті жүктеме және күштік трансформаторлардың функционалдық модульдерін қамтиды. Зертханалық-практикалық сабақтарды өткізуге арналған."
OBJ_13_TITLE,"Лабораторный стенд «Релейная защита и автоматизация электроэнергетических систем с генератором».","«Генераторы бар электр энергетикалық жүйелерді релелік қорғау және автоматтандыру» зертханалық стенді."
OBJ_13_DESC,"Модульный учебно-исследовательский комплекс для моделирования и изучения режимов работы систем релейной защиты в электрических сетях с учетом распределенной или синхронной генерации. Состоит из блоков питания стенда, линейных реакторов, моделей ЛЭП, активной и индуктивной нагрузок, измерительных и коммутационных приборов.","Үлестірілген немесе синхронды генерацияны ескере отырып, электр желілеріндегі релелік қорғаныс жүйелерінің жұмыс режимдерін модельдеуге және зерттеуге арналған модульдік оқу-зерттеу кешені. Стендтің қорек көздерінен, желілік реакторлардан, ЭБЖ модельдерінен, активті және индуктивті жүктемелерден, өлшеуіш және коммутациялық құрылғылардан тұрады."
OBJ_14_TITLE,"Лабораторный стенд «Релейная защита и автоматика в системах электроснабжения».","«Электрмен жабдықтау жүйелеріндегі релелік қорғаныс және автоматика» зертханалық стенді."
OBJ_14_DESC,"Специализированный лабораторный стенд для изучения классических и современных элементов автоматики и защиты. Комплекс оснащен блоками промежуточных, тепловых и реле времени, контакторами, измерительными трансформаторами тока, линейными реакторами, а также блоками управления и световой сигнализации.","Автоматика мен қорғаныстың классикалық және заманауи элементтерін зерттеуге арналған мамандандырылған зертханалық стенд. Кешен аралық, жылулық және уақыт релесі блоктарымен, контакторлармен, өлшеуіш ток трансформаторларымен, желілік реакторлармен, сондай-ақ басқару және жарық сигналы блоктарымен жабдықталған."
OBJ_15_TITLE,"Лабораторный стенд «Микропроцессорные средства релейной защиты и автоматизации электроэнергетических систем».","«Электр энергетикалық жүйелерді релелік қорғау және автоматтандырудың микропроцессорлық құралдары» зертханалық стенді."
OBJ_15_DESC,"Высокотехнологичный учебный стенд со встроенной развитой мнемосхемой сложной электрической сети (включает генераторы, трансформаторы, выключатели, линии электропередачи L1–L4 и нагрузку). Предназначен для исследования работы современных цифровых и микропроцессорных устройств защиты. Нижняя панель содержит органы управления режимами нейтрали и характеристиками сети.","Күрделі электр желісінің (генераторлар, трансформаторлар, ажыратқыштар, L1–L4 электр беру желілері және жүктемені қамтиды) кірістірілген дамыған мнемосхемасы бар жоғары технологиялық оқу стенді. Заманауи цифрлық және микропроцессорлық қорғаныс құрылғыларының жұмысын зерттеуге арналған. Төменгі панельде нейтраль режимдерін және желі сипаттамаларын басқару органдары орналасқан."
OBJ_16_TITLE,"Промышленный высоковольтный аппарат (разъединитель / выключатель) с фарфоровыми изоляторами.","Фарфорлы изоляторлары бар өнеркәсіптік жоғары вольтты аппарат (разъединитель / ажыратқыш)."
OBJ_16_DESC,"Натурный экспонат промышленного высоковольтного коммутационного оборудования, установленный в учебной аудитории в качестве наглядного пособия. Оснащен опорно-стержневыми фарфоровыми изоляторами и механической системой привода. На корпусе закреплен стандартный указательный знак электробезопасности «Влезать здесь».","Оқу аудиториясында көрнекі құрал ретінде орнатылған өнеркәсіптік жоғары вольтты коммутациялық жабдықтың табиғи экспонаты. Тіректі-өзекшелі фарфорлы изоляторлармен және механикалық жетек жүйесімен жабдықталған. Корпуста «Влезать здесь» (Осы жерден мін) стандартты электр қауіпсіздігі нұсқаулық белгісі бекітілген."
OBJ_17_TITLE,"Демонстрационный стенд «Линейная арматура ВЛ».","«Әуе желілерінің (ӘЖ) желілік арматурасы» демонстрациялық стенді."
OBJ_17_DESC,"Настенный учебный планшет с натурными образцами линейной арматуры и элементов, применяемых при монтаже воздушных линий электропередачи (ВЛ). Содержит различные типы соединительных и натяжных зажимов, защитных муфт, поддерживающих устройств и образцы неизолированных проводов различного сечения.","Әуе электр беру желілерін (ӘЖ) монтаждау кезінде қолданылатын желілік арматура мен элементтердің табиғи үлгілері бар қабырғаға орнатылған оқу планшеті. Онда қосатын және созатын қысқыштардың әртүрлі түрлері, қорғаныс муфталары, қолдаушы құрылғылар және әртүрлі қимадағы оқшауланбаған сымдардың үлгілері бар."
OBJ_18_TITLE,"Демонстрационный стенд «Арматура для кабельных линий».","«Кабельдік желілерге арналған арматура» демонстрациялық стенді."
OBJ_18_DESC,"Учебный настенный стенд с наглядными образцами крепежной, подвесной и соединительной арматуры, используемой при прокладке силовых кабельных и воздушных изолированных линий (СИП). Представлены анкерные и поддерживающие зажимы, кронштейны, монтажные крюки, прокалывающие ответвительные зажимы.","Күштік кабельдік және әуелік оқшауланған желілерді (ӨОС) жүргізу кезінде қолданылатын бекіту, аспалы және қосу арматурасының көрнекі үлгілері бар оқу қабырға стенді. Анкерлік және қолдаушы қысқыштар, кронштейндер, монтаждық ілмектер, тесіп өтетін тармақтағыш қысқыштар көрсетілген."
OBJ_19_TITLE,"Демонстрационный стенд «Виды кабелей».","«Кабельдердің түрлері» демонстрациялық стенді."
OBJ_19_DESC,"Наглядный экспозиционный щит со срезами и образцами различных марок силовых и контрольных кабелей. Демонстрирует внутреннее устройство проводников: структуру токопроводящих жил (медь/алюминий), фазную и поясную изоляцию, экраны, защитную броню и внешние оболочки.","Әртүрлі маркалы күштік және бақылау кабельдерінің қималары мен үлгілері бар көрнекі экспозициялық қалқан. Өткізгіштердің ішкі құрылысын көрсетеді: тоқ өткізгіш талсымдардың құрылымы (мыс/алюминий), фазалық және белдік оқшаулау, экрандар, қорғаныс сауыты (бронь) және сыртқы қабықшалар."
OBJ_20_TITLE,"Демонстрационный стенд «Коммутационные аппараты до 1 кВ».","«1 кВ-қа дейінгі коммутациялық аппараттар» демонстрациялық стенді."
OBJ_20_DESC,"Учебный стенд с коллекцией аппаратов коммутации и защиты, работающих в низковольтных сетях (до 1000 В). На панели представлены плавкие предохранители различных габаритов, съемные плавкие вставки, модульные и промышленные автоматические выключатели, электромагнитные контакторы (пускатели) и тепловые реле.","Төмен вольтты желілерде (1000 В дейін) жұмыс істейтін коммутация және қорғаныс аппараттарының коллекциясы бар оқу стенді. Панельде әртүрлі габариттегі балқымалы сақтандырғыштар, алынбалы балқымалы ендірмелер, модульдік және өнеркәсіптік автоматты ажыратқыштар, электромагниттік контакторлар (іске қосқыштар) және жылулық релелер көрсетілген."
OBJ_21_TITLE,"Лабораторный стенд «Возобновляемые источники энергии и умные сети» (Smart Grid).","«Жаңартылатын энергия көздері және ақылды желілер» (Smart Grid) зертханалық стенді."
OBJ_21_DESC,"Модульный научно-образовательный комплекс для изучения альтернативной энергетики и интеллектуальных энергосистем. Стенд оснащен функциональными блоками солнечных панелей, действующей физической моделью ветрогенератора, инверторами, зарядными устройствами, модулями нагрузок постоянного и переменного тока, а также центральным управляющим монитором Smart Grid.","Баламалы энергетиканы және зияткерлік энергия жүйелерін зерттеуге арналған модульдік ғылыми-білім беру кешені. Стенд күн панельдерінің функционалдық блоктарымен, жел генераторының жұмыс істеп тұрған физикалық моделімен, инверторлармен, зарядтау құрылғыларымен, тұрақты және айнымалы ток жүктемелерінің модульдерімен, сондай-ақ Smart Grid орталық басқару мониторымен жабдықталған."
OBJ_23_TITLE,"Лабораторный комплекс «Электрические станции и подстанции».","«Электр станциялары мен қосалқы станциялары» зертханалық кешені."
OBJ_23_DESC,"Многомодульный учебно-исследовательский комплекс, предназначенный для моделирования работы электрических станций, подстанций и распределительных устройств. Стенды оснащены измерительными приборами, мнемосхемами, переключателями и световыми индикаторами для изучения режимов работы, коммутации и распределения электроэнергии.","Электр станцияларының, қосалқы станциялардың және тарату құрылғыларының жұмысын модельдеуге арналған көпмодульді оқу-зерттеу кешені. Стендтер электр энергиясын бөлу, коммутациялау және жұмыс режимдерін зерттеуге арналған өлшеу құралдарымен, мнемосхемалармен, ауыстырып-қосқыштармен және жарық индикаторларымен жабдықталған."
OBJ_24_TITLE,"Высоковольтная камера сборная одностороннего обслуживания КСО-266 (ячейка КСО-266).","Жоғары вольтты КСО-266 бір жақты қызмет көрсету құрама камерасы (КСО-266 ұяшығы)."
OBJ_24_DESC,"Натурный образец стационарной распределительной ячейки промышленного исполнения. Передние защитные панели сняты для демонстрации внутренней механической части: пружинно-моторного привода выключателя, системы рычагов, высоковольтных контактов, цепей вторичной коммутации, кнопок управления и защитных блокировок. Используется как учебное пособие.","Өнеркәсіптік үлгідегі стационарлық тарату ұяшығының табиғи үлгісі. Ішкі механикалық бөлікті: ажыратқыштың серіппелі-моторлы жетегін, иінтіректер жүйесін, жоғары вольтты контактілерді, екінші реттік коммутация тізбектерін, басқару батырмаларын және қорғаныс бұғаттауларын көрсету үшін алдыңғы қорғаныс панельдері алынған. Оқу құралы ретінде пайдаланылады."
OBJ_25_TITLE,"Лабораторный стенд «Измерения давлений, расходов и температур в системах водо- и газоснабжения».","«Сумен және газбен жабдықтау жүйелеріндегі қысымдарды, шығындарды және температураларды өлшеу» зертханалық стенді."
OBJ_25_DESC,"Учебно-практический гидравлический и пневматический комплекс на подвижной раме. Включает в себя воздушный компрессор с ресивером, водяную насосную станцию, накопительные емкости, систему трубопроводов ПВХ с ротаметрами, манометрами и температурными датчиками. Верхняя часть оснащена электронной панелью управления с цифровыми контроллерами параметров.","Жылжымалы рамадағы оқу-практикалық гидравликалық және пневматикалық кешен. Ресивері бар ауа компрессорын, су сорғы станциясын, жинақтаушы сыйымдылықтарды, ротаметрлері, манометрлері және температура датчиктері бар ПВХ құбырлар жүйесін қамтиды. Жоғарғы бөлігі параметрлердің цифрлық контроллерлері бар электронды басқару панелімен жабдықталған."
OBJ_26_TITLE,"Лабораторный стенд «Автоматизированный тепловой пункт».","«Автоматтандырылған жылу пункті» зертханалық стенді."
OBJ_26_DESC,"Действующий физический макет индивидуального теплового пункта (ИТП). Состоит из замкнутых контуров пластиковых трубопроводов, нескольких циркуляционных насосов, радиаторных теплообменников, мембранных расширительных баков, датчиков температуры/давления и запорно-регулирующей арматуры. Верхняя панель содержит контроллеры систем отопления, ГВС и счетчики тепловой энергии для автоматического управления процессами.","Жеке жылу пунктінің (ЖЖП) жұмыс істеп тұрған физикалық макеті. Пластик құбырлардың тұйық контурларынан, бірнеше циркуляциялық сорғылардан, радиаторлық жылу алмастырғыштардан, мембраналық кеңейту бактарынан, температура/қысым датчиктерінен және тиектеу-ретеу арматурасынан тұрады. Жоғарғы панельде процестерді автоматты түрде басқаруға арналған жылыту, ЫСЖ жүйелерінің контроллерлері және жылу энергиясының есептегіштері орналасқан."
OBJ_27_TITLE,"Лабораторный стенд «Наладка электрооборудования».","«Электр жабдықтарын жөндеу» зертханалық стенді."
OBJ_27_DESC,"Стенд вертикального исполнения для сборки и пусконаладки силовых электросхем. На DIN-рейках закреплены вводной автоматический выключатель, клеммные колодки, электронное реле времени, статическое реле тока серии РСТ, дополнительный автомат и кнопочный пост. В нижней части установлен мощный трехфазный вакуумный контактор (или блок предохранителей-выключателей HGZX) для коммутации силовой цепи.","Күштік электр схемаларын құрастыруға және іске қосу-жөндеу жұмыстарына арналған вертикалды орындаудағы стенд. DIN-рейкаларда кіріспе автоматты ажыратқыш, клеммалық колодкалар, электронды уақыт релесі, РСТ сериялы статикалық ток релесі, қосымша автомат және батырмалық пост бекітілген. Төменгі бөлігінде күштік тізбекті коммутациялауға арналған қуатты үш фазалы вакуумдық контактор (немесе HGZX сақтандырғыш-ажыратқыштар блогы) орнатылған."
OBJ_28_TITLE,"Лабораторная установка двухнасосной станции с узлом учета.","Есепке алу торабы бар екі сорғылы станцияның зертханалық қондырғысы."
OBJ_28_DESC,"Гидравлический стенд настольного типа, предназначенный для моделирования систем водоснабжения зданий. Комплекс включает металлический накопительный резервуар, два параллельно подключенных центробежных электронасоса, обвязку из полипропиленовых труб, запорные краны (вентили), манометрическое реле давления для автоматического управления и механический счетчик расхода воды (водомер).","Ғимараттарды сумен жабдықтау жүйелерін модельдеуге арналған үстел үсті үлгісіндегі гидравликалық стенд. Кешенге металл жинақтаушы резервуар, параллель қосылған екі центрден тепкіш электр сорғысы, полипропилен құбырларының байламы, тиектеу крандары (вентильдер), автоматты басқаруға арналған манометрлік қысым релесі және механикалық су шығынын есептегіш (су өлшегіш) кіреді."
OBJ_29_TITLE,"Учебно-демонстрационная панель «Теоретические основы теплотехники».","«Жылу техникасының теориялық негіздері» оқу-демонстрациялық панелі."
OBJ_29_DESC,"Стенд контроля термодинамических параметров, выполненный на деревянной панели. Верхний ряд содержит пять аналоговых манометров/термометров для мониторинга узлов: теплообменника, дросселя, камер истечения и перегревателя. На панели также смонтированы цифровые измерители тока и напряжения (амперметры, вольтметры), регуляторы нагрева и мощности котла/перегревателя, и многоканальный цифровой измеритель контрольных точек.","Ағаш панельде орындалған термодинамикалық параметрлерді бақылау стенді. Жоғарғы қатарда келесі тораптарды мониторингілеуге арналған бес аналогты манометр/термометр орналасқан: жылу алмастырғыш, дроссель, ағып шығу камералары және қыздырғыш. Панельде сонымен қатар токтың және кернеудің цифрлық өлшеуіштері (амперметрлер, вольтметрлер), қазандықтың/қыздырғыштың қыздыру және қуат реттегіштері, сондай-ақ бақылау нүктелерінің көп арналы цифрлық өлшеуіші монтаждалған."
OBJ_30_TITLE,"Информационно-демонстрационный стенд «Средства защиты и первичные средства пожаротушения».","«Қорғаныс құралдары және өртті сөндірудің алғашқы құралдары» ақпараттық-демонстрациялық стенді."
OBJ_30_DESC,"Широкоформатный настенный щит по технике безопасности и охране труда. Состоит из трех разделов: основные и дополнительные изолирующие электрозащитные средства со станцией блокировки (Lockout Station); средства индивидуальной защиты (СИЗ: защитная маска, каска, наушники, очки, респиратор, диэлектрические перчатки и обувь); первичные средства пожаротушения (пожарный рукав, стволы, огнетушитель, ручной пожарный извещатель).","Қауіпсіздік техникасы және еңбекті қорғау бойынша кең форматты қабырға қалқаны. Үш бөлімнен тұрады: бұғаттау станциясы бар негізгі және қосымша оқшаулағыш электр қорғаныс құралдары (Lockout Station); жеке қорғаныс құралдары (ЖҚҚ: қорғаныс маскасы, каска, құлаққап, көзілдірік, респиратор, диэлектрлік қолғаптар мен аяқ киім); өртті сөндірудің алғашқы құралдары (өрт сөндіру жеңі, ұңғылар, өртсөндіргіш, қолмен іске қосылатын өрт хабарлағышы)."
OBJ_31_TITLE,"Учебный стеллаж «Компоненты автомобильных систем и систем зажигания».","«Автомобиль жүйелері мен от алдыру жүйелерінің компоненттері» оқу стеллажы."
OBJ_31_DESC,"Двухсекционный металлический стеллаж, содержащий натурные детали и узлы автомобилей. На полках представлены элементы поршневой группы, системы фильтрации, компоненты топливной аппаратуры, стартеры, генераторы, блок-фара головного света, а также детали и распределители классических и электронных систем зажигания (трамблеры, катушки). Предназначен для автомеханических лабораторий.","Автомобильдердің табиғи бөлшектері мен тораптарын қамтитын екі секциялы металл стеллаж. Сөрелерде поршеньдік топтың элементтері, фильтрация жүйесі, жанармай аппаратурасының компоненттері, стартерлер, генераторлар, бас жарықтандыру фарасының блогы, сондай-ақ классикалық және электронды от алдыру жүйелерінің бөлшектері мен таратушылары (трамблерлер, катушкалар) ұсынылған. Автомеханикалық зертханаларға арналған."
OBJ_32_TITLE,"Стеллаж наглядных моделей «Детали машин и теория механизмов и машин (ТММ)».","«Машина бөлшектері және механизмдер мен машиналар теориясы (ММТ)» көрнекі модельдер стеллажы."
OBJ_32_DESC,"Многоярусный демонстрационный стенд с коллекцией макетов и действующих моделей механических передач. В верхней части расположены планшеты с образцами валов, ременных передач, шестерен и подшипников. На полках размещены миниатюрные настольные механизмы: цилиндрические и конические редукторы, червячные, цепные, кулисные и кривошипно-шатунные передачи для изучения прикладной механики.","Механикалық берілістердің макеттері мен жұмыс істеп тұрған модельдерінің коллекциясы бар көп деңгейлі демонстрациялық стенд. Жоғарғы бөлігінде біліктердің, белдікті берілістердің, тісті дөңгелектердің және подшипниктердің үлгілері бар планшеттер орналасқан. Сөрелерде қолданбалы механиканы зерттеуге арналған шағын үстел үсті механизмдері орналастырылған: цилиндрлік және конустық редукторлар, бұрандалы (червячные), шынжырлы, кулисті және кривошипті-шатунды берілістер."
OBJ_33_TITLE,"Учебно-лабораторный стенд по электротехнике (производство «КЭМОНТ»).","Электротехника бойынша оқу-зертханалық стенді («КЭМОНТ» өндірісі)."
OBJ_33_DESC,"Настольный лабораторный стенд, предназначенный для изучения законов электротехники и свойств проводников. Оснащен аналоговыми измерительными приборами (вольтметр, амперметры, миллиамперметр), встроенными источниками питания (E1, E2), клеммами для сборки схем и тумблерами управления (включая переключатель для сравнения характеристик алюминия «Al» и меди «Cu»). В верхней части установлены регулируемые ползунковые реостаты в защитных кожухах.","Электротехника заңдарын және өткізгіштердің қасиеттерін зерттеуге арналған үстел үсті зертханалық стенді. Аналогтық өлшеу құралдарымен (вольтметр, амперметрлер, миллиамперметр), кірістірілген қуат көздерімен (E1, E2), схемаларды құрастыруға арналған клеммалармен және басқару тумблерлерімен (соның ішінде алюминий «Al» мен мыс «Cu» сипаттамаларын салыстыруға арналған ауыстырып-қосқыш) жабдықталған. Жоғарғы бөлігінде қорғаныс қаптамаларындағы реттелетін жылжымалы реостаттар орнатылған."
OBJ_34_TITLE,"Распределительный шкаф (щит) управления и защиты.","Басқару және қорғау тарату шкафы (қалқаны)."
OBJ_34_DESC,"Металлический электрощит навесного исполнения, предназначенный для распределения электроэнергии и защиты оборудования. На дверце щита смонтированы трехстрочные цифровые светодиодные приборы Omix (вольтметр и амперметр) для контроля параметров электрической сети, светосигнальные индикаторы режимов работы и две группы модульных автоматических выключателей EKF для защиты линий от перегрузок и коротких замыканий.","Электр энергиясын бөлуге және жабдықтарды қорғауға арналған аспалы үлгідегі металл электр қалқаны. Қалқанның есігінде электр желісінің параметрлерін бақылауға арналған үш жолды Omix цифрлық жарықдиодты құрылғылары (вольтметр және амперметр), жұмыс режимдерінің жарық сигналдық индикаторлары және желілерді шамадан тыс жүктемелер мен қысқа тұйықталулардан қорғауға арналған модульдік EKF автоматты ажыратқыштарының екі тобы монтаждалған."
OBJ_35_TITLE,"Учебный стенд «Сеть локальных контроллеров CAN-BUS»","«CAN-BUS жергілікті контроллерлер желісі» оқу стенді"
OBJ_35_DESC,"Настенный стенд для изучения автомобильной мультиплексной шины CAN. Объединяет в единую сеть реальные компоненты: приборную панель, блоки управления стеклоподъемниками, дроссельную заслонку и ЭБУ. Оснащен контрольными точками для диагностики.","Автомобильдік CAN мультиплекстік шинасын зерттеуге арналған қабырға стенді. Бірыңғай желіге нақты компоненттерді біріктіреді: аспаптар панелі, терезе көтергіштерді басқару блоктары, дроссельдік жапқыш және ЭББ. Диагностикаға арналған бақылау нүктелерімен жабдықталған."
OBJ_36_TITLE,"Учебный стенд «Электронная система управления бензинового двигателя»","«Бензин қозғалтқышының электрондық басқару жүйесі» оқу стенді"
OBJ_36_DESC,"Комплекс для изучения систем впрыска и зажигания ДВС. Включает ЭБУ, приборную панель, катушки зажигания, топливную рампу с форсунками, датчики и дроссельный узел. Имеет световую индикацию и клеммы для осциллографа.","ІЖҚ бүрку және от алдыру жүйелерін зерттеуге арналған кешен. ЭББ, аспаптар панелін, от алдыру катушкаларын, форсункалары бар отын рампасын, датчиктерді және дроссельдік торапты қамтиды. Жарық индикациясы және осциллографқа арналған клеммалары бар."
OBJ_37_TITLE,"Учебный стенд «Автомобильная система электроники и электрооборудования»","«Автомобильдің электроника және электрқоректендіру жүйесі» оқу стенді"
OBJ_37_DESC,"Стенд для изучения бортовой сети автомобиля. Содержит действующие элементы: фары, фонари, приборную панель, магнитолу, механизмы стеклоочистителей и стеклоподъемников, реле и блок предохранителей.","Автомобильдің борттық желісін зерттеуге арналған стенд. Жұмыс істеп тұрған элементтерді қамтиды: фаралар, шамдар, аспаптар панелі, магнитола, шыны тазалағыштар мен терезе көтергіштер механизмдері, реле және сақтандырғыштар блогы."
OBJ_38_TITLE,"Лабораторный макет трансмиссии и ведущего моста автомобиля","Автомобиль трансмиссиясы мен жетекші көпірінің зертханалық макеті"
